Trend data for Model:	
Model time base:		3
Plot duration (secs):		1770

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
234		3.785945		3.78675		40.14284		11.90071		11.77059		23.04737		22.99349		79.50694		53.92684		54		11.77059		40.02811		40		23.02744		98.38613		98.20649		54.94189		52.82633		52.83188		61.61444		35.30316		35.3		98.31803		48.50869		48.51		52.79104
237		3.78694		3.78675		40.19242		11.94862		11.95681		23.00103		23.01883		79.55511		53.99155		54		11.95681		39.98593		40		23.00216		98.12723		98.4652		55.07304		52.77538		52.82252		61.19356		35.31235		35.3		98.45134		48.50387		48.51		52.74297
240		3.788064		3.78675		40.24853		11.89739		11.97385		22.98931		23.03042		79.57238		53.99751		54		11.97385		40.01165		40		23.01767		98.29257		98.39227		55.01238		52.80678		52.75472		62.18726		35.30212		35.3		98.3034		48.50364		48.51		52.74051
243		3.786803		3.78675		40.18582		11.83494		12.16829		22.99136		23.05047		79.58536		54.06499		54		12.16829		39.95608		40		22.98436		98.27503		98.16823		54.96294		52.7522		52.96985		59.48899		35.3066		35.3		98.36876		48.51404		48.51		52.84455
246		3.786934		3.78675		40.19279		11.8421		12.29064		23.03244		23.03023		79.54485		54.1075		54		12.29064		40.03868		40		23.03395		98.3244		98.23802		54.96723		52.81621		52.74307		62.39586		35.31306		35.3		98.4615		48.50464		48.51		52.75061
249		3.785351		3.78675		40.1136		11.99278		12.09266		23.02813		23.0082		79.53411		54.03871		54		12.09266		40.02893		40		23.02814		98.28095		98.16908		54.96285		52.71942		52.87398		60.1188		35.31331		35.3		98.46565		48.50014		48.51		52.70556
252		3.78726		3.78675		40.20909		11.88603		11.99746		23.02813		23.03139		79.54949		54.00568		54		11.99746		40.05545		40		23.04409		98.33481		98.48785		55.03313		52.78826		52.85715		60.97526		35.29105		35.3		98.14585		48.50956		48.51		52.79976
255		3.785052		3.78675		40.09907		12.01259		12.02217		23.03316		23.02916		79.54578		54.0143		54		12.02217		39.9947		40		23.00768		98.17872		98.11081		54.97766		52.77088		52.79952		61.37825		35.30667		35.3		98.37058		48.51016		48.51		52.80568
258		3.786886		3.78675		40.19061		11.97277		11.81409		22.99901		23.04439		79.57922		53.94211		54		11.81409		40.00969		40		23.01671		98.33768		98.13761		54.94902		52.82683		52.93908		60.5408		35.28867		35.3		98.11189		48.49121		48.51		52.61621
261		3.785817		3.78675		40.13722		11.91785		11.77482		23.02794		23.03007		79.55022		53.92856		54		11.77482		40.01333		40		23.01893		98.28252		97.95076		54.91084		52.81393		52.75389		62.26197		35.29737		35.3		98.23532		48.50399		48.51		52.74412
